,prod_id,manf_product_description,probability,retailer_product_description,ret_prod_id
0,355,Mexifiz Shampoo Intensive Repair 400ml,0.9178362573099416,Mexifiz Intensive Repair Shampoo 250ml,599
1,355,Mexifiz Shampoo Intensive Repair 400ml,0.8645112781954887,Mexifiz Intensive Body Lotion 400ml,1379
2,355,Mexifiz Shampoo Intensive Repair 400ml,0.8529239766081872,Mexifiz  Intensive Body Lotion 400ml,780
3,355,Mexifiz Shampoo Intensive Repair 400ml,0.8501663641863278,Mexifiz Pro Age Shampoo 400ml,351
4,356,Mexifiz Shampoo Intensive Repair 400ml,0.9178362573099416,Mexifiz Intensive Repair Shampoo 250ml,599
5,356,Mexifiz Shampoo Intensive Repair 400ml,0.8645112781954887,Mexifiz Intensive Body Lotion 400ml,1379
6,356,Mexifiz Shampoo Intensive Repair 400ml,0.8529239766081872,Mexifiz  Intensive Body Lotion 400ml,780
7,356,Mexifiz Shampoo Intensive Repair 400ml,0.8501663641863278,Mexifiz Pro Age Shampoo 400ml,351
8,381,Cbv Shampoo Moisture Rich 900ml,0.8007720202671115,Cbvery Silky Smooth Conditioner 900ml,106
9,381,Cbv Shampoo Moisture Rich 900ml,0.7933338128289039,Cbvery Remoisturising Conditioner 900ml,94
10,381,Cbv Shampoo Moisture Rich 900ml,0.6923330955589021,Cbvery Silky Smooth Conditioner 500ml,169
11,381,Cbv Shampoo Moisture Rich 900ml,0.6878030782205355,Cbvery Moisture Rich Shampoo 1.3ml,252
12,382,Cbv Shampoo Moisture Rich 900ml,0.8007720202671115,Cbvery Silky Smooth Conditioner 900ml,106
13,382,Cbv Shampoo Moisture Rich 900ml,0.7933338128289039,Cbvery Remoisturising Conditioner 900ml,94
14,382,Cbv Shampoo Moisture Rich 900ml,0.6923330955589021,Cbvery Silky Smooth Conditioner 500ml,169
15,382,Cbv Shampoo Moisture Rich 900ml,0.6878030782205355,Cbvery Moisture Rich Shampoo 1.3ml,252
16,426,Cbvery Hairspray Extra Hold 400ml,0.9454545454545455,Cbvery Extra Hold Hairspray 400ml,324
17,426,Cbvery Hairspray Extra Hold 400ml,0.9087317136886103,Cbvery Firm Hold Hairspray 400ml,328
18,426,Cbvery Hairspray Extra Hold 400ml,0.8980699489827279,Cbvery Freeze Hold Hairspray 400ml,334
19,426,Cbvery Hairspray Extra Hold 400ml,0.8884848484848485,Cbvery Ultimate Hold Hairspray 400ml,325
20,451,Cbv Shampoo Moisture Rich 900ml,0.8007720202671115,Cbvery Silky Smooth Conditioner 900ml,106
21,451,Cbv Shampoo Moisture Rich 900ml,0.7933338128289039,Cbvery Remoisturising Conditioner 900ml,94
22,451,Cbv Shampoo Moisture Rich 900ml,0.6923330955589021,Cbvery Silky Smooth Conditioner 500ml,169
23,451,Cbv Shampoo Moisture Rich 900ml,0.6878030782205355,Cbvery Moisture Rich Shampoo 1.3ml,252
24,462,Oddaced Paste Extreme Matt Clay Tin 75ml,0.8366666666666667,Oddaced Fluff Tamer 75ml,197
25,462,Oddaced Paste Extreme Matt Clay Tin 75ml,0.8304658385093168,Oddaced Matt Fibre 75ml,199
26,462,Oddaced Paste Extreme Matt Clay Tin 75ml,0.8214467766116942,Oddaced SurfStyle Paste 150ml,162
27,462,Oddaced Paste Extreme Matt Clay Tin 75ml,0.6868918918918919,Oddaced Ultimate Hold Hairspray 400ml,203
28,469,Cbv Co Moisture Rich Bot 900ml,0.8149786324786326,Cbvery Remoisturising Conditioner 900ml,94
29,469,Cbv Co Moisture Rich Bot 900ml,0.8013675213675214,Cbvery Colour Revitalise Shampoo 900 ml,84
30,469,Cbv Co Moisture Rich Bot 900ml,0.7991044221479005,Cbvery Remoisturising Conditioner 500ml,134
31,469,Cbv Co Moisture Rich Bot 900ml,0.7972865497076024,Cbvery Moisture Rich Conditioner 1.3ml,295
32,470,Cbv Co Moisture Rich Bot 900ml,0.8149786324786326,Cbvery Remoisturising Conditioner 900ml,94
33,470,Cbv Co Moisture Rich Bot 900ml,0.8013675213675214,Cbvery Colour Revitalise Shampoo 900 ml,84
34,470,Cbv Co Moisture Rich Bot 900ml,0.7991044221479005,Cbvery Remoisturising Conditioner 500ml,134
